coin,first_epoch
ETH,1500004800000
LTC,1500005340000
BNB,1500004800000
NEO,1500004800000
BCC,1501657200000
GAS,1502078400000
HSR,1503028800000
MCO,1503547260000
WTC,1503806400000
LRC,1504238400000
QTUM,1504497720000
YOYO,1504411200000
OMG,1505188800000
ZRX,1505275200000
STRAT,1505361600000
SNGLS,1505815200000
BQX,1506074460000
KNC,1506398400000
FUN,1506571260000
SNM,1506497460000
IOTA,1506762000000
LINK,1506587880000
XVG,1506916800000
SALT,1506743940000
MDA,1507176060000
MTL,1507536840000
SUB,1507613580000
EOS,1507705440000
SNT,1507795260000
ETC,1507800720000
MTH,1507866240000
ENG,1507873380000
DNT,1508126760000
ZEC,1510631160000
BNT,1508212860000
AST,1508386500000
DASH,1508473200000
OAX,1508752860000
ICN,1508752560000
BTG,1508826060000
EVX,1509024180000
REQ,1509070980000
VIB,1509350160000
TRX,1509422460000
POWR,1509507720000
ARK,1509528120000
XRP,1509609480000
MOD,1509676500000
ENJ,1509680520000
STORJ,1509701100000
VEN,1510032900000
KMD,1510042920000
RCN,1510118280000
NULS,1510194600000
RDN,1510226160000
XMR,1510294320000
DLT,1510308240000
AMB,1510330440000
BAT,1510571400000
BCPT,1510658700000
ARN,1510714020000
GVT,1510825860000
CDT,1510833180000
GXS,1510887540000
POE,1511172900000
QSP,1511230680000
BTS,1511247060000
XZC,1511330700000
LSK,1511343720000
TNT,1511345580000
FUEL,1511426220000
MANA,1511490840000
BCD,1511533560000
DGD,1511762040000
ADX,1511925000000
ADA,1512044940000
PPT,1512099960000
CMT,1512475080000
XLM,1512712860000
CND,1512961200000
LEND,1513068600000
WABI,1513084680000
TNB,1513319340000
WAVES,1513340940000
GTO,1513584660000
ICX,1513573800000
OST,1513663080000
ELF,1513828260000
AION,1513846260000
NEBL,1513924800000
BRD,1514090400000
EDO,1514184540000
WINGS,1514258760000
NAV,1514364960000
LUN,1514445000000
TRIG,1514527560000
APPC,1515168840000
VIBE,1515565860000
RLC,1515739440000
INS,1515999120000
PIVX,1516678140000
IOST,1516773720000
CHAT,1517395080000
STEEM,1517477760000
NANO,1517601300000
VIA,1517817480000
BLZ,1517914200000
AE,1518004680000
RPX,1518405780000
NCASH,1519641120000
POA,1519802640000
ZIL,1520230140000
ONT,1520490420000
STORM,1520835120000
XEM,1521546360000
WAN,1521784800000
WPR,1522304640000
QLC,1522055220000
SYS,1522226220000
GRS,1522834800000
CLOAK,1524033600000
GNT,1524812280000
LOOM,1525243500000
BCN,1525759500000
REP,1526024040000
TUSD,1526961600000
